team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Argentina,24,28.4,57.4,7,77,690,7.7,15,8,11,4,5,17,0,1.96,1.04,3.00,1.43,2.48,15.2,11.4,7.8,19.3,1.98,1.02,3.00,1.49,2.51,7,7,690,8,1.04,13,6,53.8,4,2,1,3,42.9,2,2,0,0,0.0,0,0,1,5.4,0.26,-1.6,-0.21,15,78,19.2,147,34,38.8,34.4,39,53.8,46.0,87,12,13.8,4,0.52,12.1,95,41,43.2,12.39,5.35,0.12,0.27,18.3,3,0.12,-0.2,-0.4,3911,4625,84.6,60635,18633,2131,2336,91.2,1453,1636,88.8,233,431,54.1,7.1,+0.2,76,242,64,7,217,4237,365,119,10,21,94,151,39,11,17,0,23,62,179,23.35,134,13,6,9,10,7,25,3.26,16,1,3,1,4,0,123,69,70,41,12,59,100,59.0,41,84,14,70,52,175,124,0,5388,352,1424,2716,1293,157,5383,45,112,40.2,99,81,3868,210,99,100,87,41,36,24,66,2.00,15,8,+7,+0.91,15.2,4.6,+10.6,+1.38,0,100,115,23,5,2,1,357,83,90,48.0
Australia,20,28.7,37.8,4,44,360,4.0,3,3,3,0,0,7,0,0.75,0.75,1.50,0.75,1.50,2.3,2.3,1.9,4.2,0.58,0.48,1.06,0.58,1.06,4,4,360,6,1.50,18,12,66.7,2,0,2,2,50.0,0,0,0,0,-1,0,1,0,5.5,0.31,-0.5,-0.13,38,85,44.7,127,13,50.4,38.5,37,56.8,46.2,63,3,4.8,6,1.50,15.5,26,8,30.8,6.50,2.00,0.12,0.38,18.5,0,0.09,+0.7,+0.7,1254,1696,73.9,22489,8922,546,643,84.9,499,612,81.5,145,306,47.4,1.1,+1.1,17,77,15,2,68,1493,202,48,1,13,54,98,8,3,5,0,1,41,42,10.50,29,6,3,1,3,0,6,1.50,5,0,1,0,0,0,58,30,34,21,3,34,58,58.6,24,64,20,44,40,98,104,3,2155,306,882,910,378,46,2155,13,46,28.3,61,36,1236,65,90,100,82,25,19,19,40,1.50,4,6,-2,-0.50,2.3,7.2,-4.9,-1.23,0,52,34,1,0,0,0,200,72,72,50.0
Belgium,20,30.6,57.0,3,33,270,3.0,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,4.7,4.7,3.8,8.5,1.57,1.27,2.85,1.57,2.85,3,3,270,2,0.67,11,8,81.8,1,1,1,2,66.7,1,0,1,0,100.0,0,0,0,4.1,0.28,+2.1,+0.69,10,23,43.5,87,15,17.2,26.7,36,22.2,33.5,36,1,2.8,2,0.67,14.0,35,9,25.7,11.67,3.00,0.03,0.11,15.6,1,0.14,-3.7,-3.7,1598,1885,84.8,30387,9967,575,637,90.3,866,955,90.7,148,237,62.4,2.9,-2.8,29,102,18,2,99,1733,149,42,10,9,53,49,17,5,10,0,3,34,65,21.67,46,8,4,4,2,1,2,0.67,2,0,0,0,0,0,48,27,29,17,2,26,41,63.4,15,33,8,25,17,65,59,1,2172,251,828,995,369,52,2172,19,45,42.2,47,24,1579,95,90,100,79,19,14,25,29,1.33,1,2,-1,-0.33,4.7,4.6,+0.2,+0.05,0,30,35,3,0,1,0,132,33,28,54.1
Brazil,26,28.5,56.2,5,55,480,5.3,8,6,7,1,1,6,0,1.50,1.13,2.62,1.31,2.44,12.0,11.2,8.2,19.4,2.24,1.54,3.79,2.09,3.64,5,5,480,3,0.56,10,7,70.0,2,1,1,2,40.0,0,0,0,0,-1,0,0,0,3.1,0.31,+0.1,+0.02,10,22,45.5,102,22,14.7,24.7,27,25.9,29.6,52,0,0.0,9,1.69,20.3,95,40,42.1,17.81,7.50,0.07,0.18,17.5,7,0.12,-4.0,-4.2,2750,3203,85.9,45228,14850,1305,1430,91.3,1190,1336,89.1,180,297,60.6,7.9,-2.2,70,209,55,11,190,2942,253,78,7,15,106,102,37,21,5,0,8,40,170,31.87,127,9,7,15,9,3,13,2.44,9,0,1,2,1,0,88,51,38,29,21,33,56,58.9,23,60,10,50,40,128,63,1,3772,254,938,1839,1020,162,3771,32,110,29.1,88,58,2718,186,96,100,85,30,25,24,40,2.00,8,3,+5,+0.94,12.0,2.0,+9.9,+1.86,0,63,74,8,1,0,0,271,43,56,43.4
Cameroon,22,28.0,41.7,3,33,270,3.0,4,4,4,0,0,8,1,1.33,1.33,2.67,1.33,2.67,3.4,3.4,2.0,5.4,1.14,0.66,1.80,1.14,1.80,3,3,260,4,1.38,15,11,73.3,1,1,1,1,33.3,0,0,0,0,-1,0,0,0,4.9,0.33,+0.9,+0.31,29,67,43.3,108,17,42.6,34.9,34,61.8,46.8,57,3,5.3,0,0.00,8.9,28,16,57.1,9.33,5.33,0.14,0.25,16.4,1,0.13,+0.6,+0.6,960,1252,76.7,17831,7268,455,516,88.2,367,444,82.7,121,234,51.7,2.2,+2.0,21,90,11,3,62,1105,145,45,4,10,53,47,12,5,5,0,2,24,50,16.67,32,5,7,4,2,0,7,2.33,5,0,1,1,0,0,42,20,27,13,2,12,27,44.4,15,22,6,16,40,82,71,1,1571,226,604,666,324,50,1571,24,55,43.6,39,24,943,58,90,100,83,20,12,19,28,1.33,4,4,0,0.00,3.4,5.8,-2.3,-0.78,1,32,38,2,0,0,0,142,42,36,53.8
Canada,19,28.2,52.0,3,33,270,3.0,1,1,1,0,1,8,0,0.33,0.33,0.67,0.33,0.67,4.2,3.6,2.8,6.4,1.41,0.95,2.35,1.18,2.13,3,3,270,7,2.33,15,8,53.3,0,0,3,0,0.0,0,0,0,0,-1,0,0,0,5.4,0.37,-1.6,-0.52,11,29,37.9,82,22,31.7,30.1,15,20.0,28.3,29,0,0.0,2,0.67,15.1,34,4,11.8,11.33,1.33,0.03,0.25,17.0,1,0.11,-3.2,-2.6,1307,1586,82.4,22064,7915,635,704,90.2,519,578,89.8,117,210,55.7,2.6,-1.8,27,103,24,12,84,1424,154,41,1,11,54,76,12,5,5,0,8,31,61,20.33,47,4,3,5,2,0,2,0.67,2,0,0,0,0,0,41,23,21,13,7,20,40,50.0,20,26,5,21,18,59,41,2,1889,155,517,946,441,56,1889,31,82,37.8,52,30,1289,83,90,100,78,18,15,26,30,0.00,2,7,-5,-1.67,4.2,3.9,+0.3,+0.11,0,33,37,8,0,0,0,145,30,21,58.8
Costa Rica,22,30.6,31.3,3,33,270,3.0,3,1,3,0,0,6,0,1.00,0.33,1.33,1.00,1.33,1.4,1.4,0.6,2.0,0.48,0.20,0.68,0.48,0.68,3,3,270,11,3.67,22,11,54.5,1,0,2,1,33.3,1,1,0,0,0.0,0,0,0,9.6,0.39,-1.4,-0.46,20,58,34.5,68,14,50.0,41.7,33,72.7,52.0,51,2,3.9,2,0.67,9.9,12,7,58.3,4.00,2.33,0.25,0.43,17.0,0,0.13,+1.6,+1.6,823,1101,74.8,15308,6006,362,425,85.2,352,411,85.6,92,199,46.2,0.4,+0.4,7,35,7,2,38,953,135,42,1,15,21,43,1,1,0,0,13,22,20,6.67,13,2,0,3,2,0,3,1.00,1,0,0,2,0,0,67,35,43,20,4,33,65,50.8,32,42,14,28,31,98,83,1,1436,248,688,594,170,18,1436,17,37,45.9,43,31,812,36,90,100,82,19,14,19,30,1.00,3,11,-8,-2.67,1.4,10.1,-8.7,-2.90,0,24,37,13,0,1,0,142,38,30,55.9
Croatia,21,29.2,54.3,7,77,690,7.7,8,8,8,0,0,8,0,1.04,1.04,2.09,1.04,2.09,7.0,7.0,5.6,12.6,0.91,0.74,1.65,0.91,1.65,7,7,690,7,0.91,31,24,80.6,2,4,1,2,28.6,1,1,0,0,0.0,0,1,0,10.5,0.31,+3.5,+0.46,31,63,49.2,178,46,24.2,26.7,50,40.0,34.9,99,8,8.1,3,0.39,10.8,79,26,32.9,10.30,3.39,0.10,0.31,18.5,1,0.09,+1.0,+1.0,3766,4523,83.3,62507,20561,1911,2082,91.8,1413,1642,86.1,325,526,61.8,6.0,+2.4,61,246,59,22,236,4153,359,102,12,36,153,161,30,12,5,0,11,85,132,17.22,104,9,6,7,4,2,14,1.83,13,1,0,0,0,0,132,83,59,56,17,56,101,55.4,45,77,28,49,53,185,143,0,5288,505,1540,2699,1114,152,5288,40,99,40.4,106,70,3724,231,99,100,89,46,32,23,70,1.43,8,7,+1,+0.13,7.0,11.0,-4.0,-0.53,0,90,90,11,0,1,0,409,87,87,50.0
Denmark,20,27.5,60.0,3,33,270,3.0,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,2.7,2.7,1.8,4.5,0.90,0.59,1.49,0.90,1.49,3,3,270,3,1.00,11,8,72.7,0,1,2,1,33.3,0,0,0,0,-1,0,0,0,3.7,0.34,+0.7,+0.24,9,24,37.5,71,12,26.8,30.2,16,31.3,35.8,38,0,0.0,5,1.67,19.2,34,10,29.4,11.33,3.33,0.03,0.10,17.1,0,0.09,-1.7,-1.7,1598,1944,82.2,28745,9562,711,803,88.5,670,753,89.0,176,292,60.3,1.8,-0.8,27,154,25,6,133,1796,143,27,0,29,67,73,21,3,9,8,5,27,57,19.00,42,7,1,7,0,0,1,0.33,0,0,0,1,0,0,42,27,18,20,4,18,39,46.2,21,43,16,27,23,65,49,0,2255,164,584,1162,525,68,2255,10,47,21.3,50,25,1570,128,90,100,80,20,13,27,30,0.33,1,3,-2,-0.67,2.7,3.9,-1.2,-0.39,0,28,23,5,0,0,0,171,51,48,51.5
Ecuador,18,25.8,53.3,3,33,270,3.0,4,2,3,1,1,3,0,1.33,0.67,2.00,1.00,1.67,3.7,2.9,1.8,4.7,1.24,0.60,1.84,0.98,1.58,3,3,270,3,1.00,4,1,50.0,1,1,1,1,33.3,1,1,0,0,0.0,0,0,0,2.1,0.27,-0.9,-0.31,11,40,27.5,53,6,47.2,38.3,21,71.4,52.0,26,1,3.8,2,0.67,13.0,29,10,34.5,9.67,3.33,0.10,0.30,18.2,1,0.11,+0.3,+0.1,1153,1473,78.3,19926,6755,548,615,89.1,468,544,86.0,112,235,47.7,1.6,+0.2,20,60,17,10,52,1312,153,46,4,3,57,69,11,7,4,0,8,23,47,15.67,31,4,1,6,4,1,6,2.00,3,0,0,2,1,0,46,30,21,23,2,12,36,33.3,24,33,4,29,28,74,42,1,1761,119,578,879,316,49,1760,13,43,30.2,65,25,1145,51,90,100,85,22,11,16,33,1.33,4,3,+1,+0.33,3.7,2.6,+1.2,+0.39,0,50,37,8,1,1,0,135,50,49,50.5
England,20,27.0,62.8,5,55,450,5.0,13,11,12,1,2,1,0,2.60,2.20,4.80,2.40,4.60,8.7,7.1,5.7,12.8,1.73,1.13,2.87,1.42,2.55,5,5,450,4,0.80,11,7,72.7,3,1,1,3,60.0,1,1,0,0,0.0,0,1,0,2.5,0.24,-1.5,-0.30,20,51,39.2,123,14,27.6,29.2,36,47.2,45.9,39,2,5.1,5,1.00,16.2,61,27,44.3,12.20,5.40,0.20,0.44,16.0,4,0.12,+4.3,+4.9,2775,3211,86.4,50485,15112,1198,1299,92.2,1280,1391,92.0,263,407,64.6,6.0,+5.3,46,166,45,7,186,2981,225,69,4,29,82,86,25,10,13,1,5,46,111,22.20,66,13,11,7,10,4,24,4.80,17,1,4,0,2,0,65,44,26,25,14,22,34,64.7,12,48,13,35,38,103,55,0,3630,231,1006,1891,770,114,3628,36,78,46.2,59,29,2734,180,90,100,82,33,22,19,47,2.00,13,4,+9,+1.80,8.7,4.0,+4.6,+0.92,0,53,65,5,2,1,0,227,60,66,47.6
France,24,27.2,51.3,7,77,660,7.3,16,12,14,2,2,8,0,2.18,1.64,3.82,1.91,3.55,13.8,12.2,10.3,22.5,1.88,1.40,3.28,1.67,3.06,7,7,660,8,1.09,27,19,81.5,5,1,1,1,14.3,4,3,0,1,0.0,0,1,0,9.3,0.24,+1.3,+0.18,35,112,31.3,147,28,48.3,39.1,65,63.1,47.8,89,8,9.0,5,0.68,13.6,100,33,33.0,13.64,4.50,0.14,0.42,15.8,2,0.13,+2.2,+1.8,3279,3968,82.6,59236,18437,1484,1645,90.2,1411,1579,89.4,339,578,58.7,9.2,+1.7,80,300,52,20,186,3604,348,96,11,25,132,134,38,18,14,0,16,65,183,24.95,135,16,10,14,6,2,29,3.95,24,0,0,4,1,0,145,88,77,54,14,55,91,60.4,36,71,22,49,77,222,103,1,4748,398,1276,2394,1133,174,4746,69,145,47.6,97,68,3235,181,94,100,85,49,28,24,63,2.29,16,8,+8,+1.09,13.8,10.0,+3.7,+0.51,0,69,85,16,1,4,0,364,106,78,57.6
Germany,20,28.1,59.3,3,33,270,3.0,6,5,5,1,1,3,0,2.00,1.67,3.67,1.67,3.33,10.1,9.3,7.5,16.8,3.35,2.50,5.85,3.09,5.59,3,3,270,5,1.67,13,8,61.5,1,1,1,0,0.0,0,0,0,0,-1,0,0,0,5.1,0.44,+0.1,+0.04,7,15,46.7,113,16,13.3,25.7,14,0.0,22.4,22,0,0.0,6,2.00,20.3,68,23,33.8,22.67,7.67,0.07,0.22,16.6,1,0.14,-4.1,-4.3,1686,1990,84.7,27871,9490,797,881,90.5,662,725,91.3,149,230,64.8,7.2,-2.5,52,126,48,14,132,1827,151,37,5,13,68,66,25,8,14,2,12,35,124,41.33,96,7,6,8,4,3,12,4.00,11,0,0,0,1,0,50,27,24,20,6,26,43,60.5,17,41,7,34,21,71,24,3,2311,174,588,1035,707,127,2310,31,64,48.4,44,41,1665,128,90,100,82,18,15,18,30,1.33,6,5,+1,+0.33,10.1,3.4,+6.7,+2.22,0,26,27,12,1,0,0,164,36,33,52.2
