team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_dribbles,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_dribbles,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,passes_received,progressive_passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Ghana,20,26.4,42.0,3,33,270,3.0,5,2,5,0,1,8,0,1.67,0.67,2.33,1.67,2.33,4.1,3.4,1.7,5.1,1.38,0.57,1.95,1.13,1.70,3,3,270,7,2.33,17,10,64.7,1,0,2,0,0.0,1,1,0,0,0.0,0,0,0,6.5,0.34,-0.5,-0.18,13,36,36.1,47,8,53.2,41.6,31,35.5,35.0,58,2,3.4,1,0.33,11.4,25,9,36.0,8.33,3.00,0.20,0.56,19.0,0,0.14,+0.9,+1.6,972,1256,77.4,16652,6226,475,533,89.1,376,443,84.9,99,210,47.1,1.5,+0.3,18,67,12,4,62,1101,151,41,1,4,49,56,13,9,4,0,4,25,44,14.67,36,3,1,2,2,0,9,3.00,7,0,0,1,1,0,54,34,31,16,7,22,28,78.6,6,37,14,23,19,73,84,1,1616,215,630,670,338,40,1615,27,57,47.4,46,34,963,61,90,100,83,18,15,16,30,1.00,5,7,-2,-0.67,4.1,5.6,-1.4,-0.48,0,46,38,4,1,1,0,146,36,62,36.7
Iran,21,29.3,36.7,3,33,270,3.0,4,2,3,1,1,7,0,1.33,0.67,2.00,1.00,1.67,3.2,2.8,2.4,5.2,1.07,0.81,1.88,0.94,1.75,3,3,270,7,2.33,15,8,53.3,1,0,1,1,33.3,0,0,0,0,-1,0,1,0,5.5,0.37,-1.5,-0.50,13,46,28.3,56,17,50.0,38.1,20,90.0,59.5,46,4,8.7,0,0.00,6.5,32,8,25.0,10.67,2.67,0.09,0.38,20.6,0,0.09,+0.8,+0.2,769,1106,69.5,14148,5637,312,382,81.7,332,425,78.1,96,225,42.7,2.7,-0.4,26,55,17,3,56,972,128,31,3,13,48,56,8,3,3,0,6,24,58,19.33,43,4,1,5,5,0,8,2.67,4,0,1,1,2,0,53,29,29,18,6,23,56,41.1,33,37,8,29,42,95,61,0,1428,181,557,592,302,44,1427,11,34,32.4,38,19,753,54,90,100,76,17,16,29,23,1.00,4,7,-3,-1.00,3.2,4.2,-0.9,-0.32,0,38,26,6,1,0,0,178,43,49,46.7
Japan,22,28.8,35.8,4,44,390,4.3,5,4,5,0,0,6,0,1.15,0.92,2.08,1.15,2.08,5.0,5.0,3.5,8.5,1.15,0.81,1.96,1.15,1.96,4,4,390,4,0.92,19,15,84.2,2,1,1,0,0.0,1,1,0,0,0.0,0,0,0,5.3,0.24,+1.3,+0.31,12,54,22.2,86,12,44.2,35.8,26,61.5,45.7,61,4,6.6,0,0.00,8.4,44,14,31.8,10.15,3.23,0.11,0.36,16.8,2,0.12,0.0,0.0,1324,1750,75.7,23079,7896,636,735,86.5,540,652,82.8,125,283,44.2,2.5,+0.5,31,101,24,8,79,1572,169,43,4,10,55,71,19,9,6,0,9,29,75,17.31,51,6,2,10,4,2,8,1.85,5,1,0,1,1,0,70,38,29,34,7,25,42,59.5,17,62,19,43,34,104,101,2,2234,268,778,1024,453,66,2234,18,49,36.7,60,36,1302,77,98,100,83,24,20,33,38,1.75,5,4,+1,+0.23,5.0,5.7,-0.7,-0.15,0,58,36,9,0,1,0,220,59,76,43.7
Korea Republic,21,29.0,48.3,4,44,360,4.0,5,3,5,0,0,6,0,1.25,0.75,2.00,1.25,2.00,4.6,4.6,3.3,7.9,1.14,0.83,1.98,1.14,1.98,4,4,360,8,2.00,19,11,63.2,1,1,2,1,25.0,1,1,0,0,0.0,0,0,0,6.6,0.30,-1.4,-0.34,11,42,26.2,99,12,28.3,31.5,29,48.3,43.3,47,3,6.4,5,1.25,15.2,50,18,36.0,12.50,4.50,0.10,0.28,18.3,2,0.09,+0.4,+0.4,1619,2022,80.1,30139,10119,705,792,89.0,671,777,86.4,209,360,58.1,3.0,-0.3,36,150,38,12,112,1832,183,39,1,34,92,79,24,9,11,0,7,33,86,21.50,65,7,2,6,4,2,8,2.00,5,0,0,0,2,1,59,33,28,23,8,30,51,58.8,21,31,8,23,31,90,66,1,2401,232,712,1031,671,74,2401,13,54,24.1,47,26,1593,107,90,100,82,28,16,21,44,1.00,5,8,-3,-0.75,4.6,7.1,-2.5,-0.63,0,45,34,7,0,1,0,175,72,59,55.0
Mexico,21,29.0,54.0,3,33,270,3.0,2,1,2,0,0,7,0,0.67,0.33,1.00,0.67,1.00,3.3,3.3,2.7,6.0,1.09,0.90,1.99,1.09,1.99,3,3,270,3,1.00,6,2,50.0,1,1,1,1,33.3,1,0,1,0,100.0,0,1,0,3.0,0.33,0.0,-0.01,10,24,41.7,81,12,19.8,28.1,26,30.8,32.8,28,0,0.0,3,1.00,12.9,41,15,36.6,13.67,5.00,0.05,0.13,21.9,6,0.08,-1.3,-1.3,1097,1450,75.7,19868,7015,483,570,84.7,482,588,82.0,117,222,52.7,3.4,-1.7,25,95,19,10,77,1277,160,49,9,13,79,63,16,6,8,0,13,33,75,25.00,52,9,3,3,8,0,4,1.33,2,1,0,0,1,0,50,27,21,26,3,25,44,56.8,19,31,2,29,25,75,48,0,1768,134,504,887,392,51,1768,19,43,44.2,50,30,1081,74,90,100,83,21,12,21,33,1.33,2,3,-1,-0.33,3.3,2.4,+0.9,+0.30,0,51,48,13,0,1,0,151,48,51,48.5
Morocco,25,27.2,39.0,7,77,660,7.3,6,4,6,0,0,9,1,0.82,0.55,1.36,0.82,1.36,6.6,6.6,4.6,11.2,0.90,0.63,1.53,0.90,1.53,7,7,660,5,0.68,14,10,64.3,3,2,2,4,57.1,0,0,0,0,-1,0,0,1,3.9,0.28,-0.1,-0.01,37,92,40.2,166,20,30.1,31.8,69,60.9,46.8,109,5,4.6,6,0.82,12.6,61,17,27.9,8.32,2.32,0.10,0.35,19.1,3,0.11,-0.6,-0.6,2270,2889,78.6,38633,15136,1125,1272,88.4,833,985,84.6,239,454,52.6,3.2,-0.6,41,107,34,12,115,2550,320,97,3,45,75,126,12,5,2,0,19,47,107,14.59,79,8,8,5,7,0,10,1.36,6,1,1,0,2,0,129,79,76,45,8,68,124,54.8,56,86,20,66,68,197,163,2,3704,487,1556,1565,617,91,3704,50,126,39.7,126,53,2236,112,94,100,83,43,35,26,66,1.57,6,5,+1,+0.14,6.6,7.4,-0.8,-0.11,1,96,81,19,0,0,1,369,70,85,45.2
Netherlands,21,27.6,53.0,5,55,480,5.3,10,8,10,0,0,12,1,1.87,1.50,3.38,1.87,3.38,4.6,4.6,2.9,7.5,0.86,0.54,1.41,0.86,1.41,5,5,480,4,0.75,22,18,86.4,3,2,0,2,40.0,1,1,0,0,0.0,0,0,0,6.5,0.25,+2.5,+0.47,22,55,40.0,152,34,25.7,29.2,40,40.0,35.7,63,6,9.5,5,0.94,13.3,42,16,38.1,7.88,3.00,0.24,0.63,16.1,1,0.12,+5.4,+5.4,2472,2993,82.6,41845,14660,1195,1351,88.5,993,1130,87.9,230,383,60.1,3.5,+5.1,33,186,28,6,149,2743,242,66,7,15,71,107,19,7,8,0,8,38,71,13.31,54,8,0,6,3,0,16,3.00,12,1,0,2,1,0,91,47,39,40,12,34,55,61.8,21,58,18,40,52,143,97,1,3509,341,1065,1789,678,74,3509,19,61,31.1,73,44,2439,145,96,100,86,31,23,25,52,2.20,10,4,+6,+1.13,4.6,6.1,-1.5,-0.27,1,87,50,8,0,1,0,241,79,70,53.0
Poland,21,28.7,37.3,4,44,360,4.0,3,1,2,1,2,7,0,0.75,0.25,1.00,0.50,0.75,4.5,2.9,1.8,4.7,1.14,0.44,1.58,0.74,1.18,4,4,360,5,1.25,28,21,82.1,1,1,2,2,50.0,2,0,2,0,100.0,0,0,0,7.8,0.22,+2.8,+0.70,40,95,42.1,109,13,62.4,43.3,33,81.8,56.3,66,1,1.5,0,0.00,7.9,29,5,17.2,7.25,1.25,0.07,0.40,15.5,1,0.11,-1.5,-0.9,1169,1531,76.4,21855,8533,495,564,87.8,499,580,86.0,139,289,48.1,2.3,-0.8,22,80,15,8,50,1342,188,54,1,19,52,73,11,4,7,0,1,43,52,13.00,32,6,7,3,4,0,4,1.00,2,0,2,0,0,0,64,30,33,22,9,22,55,40.0,33,39,13,26,30,94,110,2,1956,289,715,895,365,54,1954,17,50,34.0,57,30,1147,49,90,100,82,29,15,23,45,1.00,3,5,-2,-0.50,4.5,7.3,-2.7,-0.69,0,47,47,1,1,2,0,164,51,60,45.9
Portugal,24,27.8,60.4,5,55,450,5.0,12,10,10,2,2,6,0,2.40,2.00,4.40,2.00,4.00,7.8,6.2,5.2,11.4,1.56,1.04,2.60,1.24,2.29,5,5,450,6,1.20,17,11,64.7,3,0,2,1,20.0,0,0,0,0,-1,0,2,0,6.0,0.35,0.0,-0.01,13,52,25.0,123,22,31.7,33.2,35,37.1,39.6,47,3,6.4,8,1.60,15.9,64,24,37.5,12.80,4.80,0.16,0.42,19.2,2,0.10,+4.2,+3.8,2630,3142,83.7,46616,13884,1271,1384,91.8,1017,1149,88.5,289,469,61.6,4.5,+4.8,49,173,44,14,164,2888,240,71,6,45,102,93,28,5,13,0,14,42,117,23.40,89,13,3,4,6,2,21,4.20,17,2,1,0,1,0,66,44,31,25,10,30,55,54.5,25,43,12,31,35,101,58,3,3556,267,975,1722,878,103,3554,25,61,41.0,71,30,2595,162,90,100,82,30,25,18,40,1.80,12,6,+6,+1.20,7.8,6.5,+1.3,+0.25,0,55,65,14,1,0,0,256,66,53,55.5
Qatar,20,29.0,43.0,3,33,270,3.0,1,1,1,0,0,7,0,0.33,0.33,0.67,0.33,0.67,1.4,1.4,1.2,2.6,0.47,0.39,0.87,0.47,0.87,3,3,270,7,2.33,12,5,50.0,0,0,3,0,0.0,1,1,0,0,0.0,0,1,0,4.3,0.35,-2.7,-0.89,8,22,36.4,58,13,32.8,30.0,24,12.5,22.1,33,1,3.0,3,1.00,13.0,20,6,30.0,6.67,2.00,0.05,0.17,21.5,0,0.07,-0.4,-0.4,1129,1407,80.2,19847,6322,519,580,89.5,426,494,86.2,135,228,59.2,1.6,-0.2,16,61,13,6,49,1246,154,57,3,23,42,53,9,7,1,0,7,38,38,12.67,30,3,0,0,2,3,2,0.67,2,0,0,0,0,0,38,22,21,13,4,14,37,37.8,23,21,4,17,24,62,44,2,1661,180,584,839,251,24,1661,16,42,38.1,44,22,1122,48,90,100,84,22,11,17,32,0.00,1,7,-6,-2.00,1.4,3.5,-2.1,-0.71,0,31,45,7,0,1,0,138,36,38,48.6
Saudi Arabia,23,28.1,44.7,3,33,270,3.0,3,2,3,0,1,14,0,1.00,0.67,1.67,1.00,1.67,3.0,2.1,1.4,3.5,0.99,0.47,1.47,0.71,1.18,3,3,270,5,1.67,19,14,78.9,1,0,2,0,0.0,1,1,0,0,0.0,1,1,0,6.8,0.31,+1.8,+0.59,16,53,30.2,71,14,47.9,40.5,29,65.5,48.3,55,4,7.3,14,4.67,18.0,28,8,28.6,9.33,2.67,0.11,0.38,18.7,2,0.08,0.0,+0.9,870,1205,72.2,14844,5828,419,486,86.2,316,411,76.9,95,205,46.3,1.4,+0.6,18,70,23,5,76,1043,159,55,2,14,39,59,8,2,3,0,3,36,44,14.67,31,2,3,4,4,0,4,1.33,3,0,0,1,0,0,47,23,27,16,4,15,33,45.5,18,40,13,27,31,78,67,1,1551,186,493,674,409,64,1550,12,42,28.6,60,24,852,73,90,100,82,21,14,20,23,1.00,3,5,-2,-0.67,3.0,6.0,-3.0,-1.01,0,56,38,3,1,1,0,132,45,49,47.9
Senegal,20,27.7,44.8,4,44,360,4.0,5,2,4,1,1,7,0,1.25,0.50,1.75,1.00,1.50,4.6,3.8,2.5,6.2,1.14,0.61,1.75,0.94,1.55,4,4,360,7,1.75,14,7,50.0,2,0,2,0,0.0,0,0,0,0,-1,0,1,0,5.4,0.41,-1.6,-0.41,15,44,34.1,94,15,39.4,35.5,26,26.9,30.1,64,3,4.7,2,0.50,11.8,51,12,23.5,12.75,3.00,0.08,0.33,18.5,2,0.07,+0.4,+0.2,1310,1687,77.7,22903,7970,610,681,89.6,491,581,84.5,151,305,49.5,2.8,-0.5,36,93,29,10,81,1488,191,61,5,23,71,71,21,10,6,0,8,22,87,21.75,66,5,5,3,7,1,9,2.25,6,1,0,0,2,0,43,32,24,17,2,20,36,55.6,16,34,6,28,31,74,96,1,2087,235,700,887,525,66,2086,26,59,44.1,60,45,1287,79,90,100,82,27,17,22,37,1.50,5,7,-2,-0.50,4.6,3.5,+1.0,+0.26,0,48,57,8,1,0,0,192,72,63,53.3
Serbia,22,27.4,51.3,3,33,270,3.0,5,4,5,0,0,12,0,1.67,1.33,3.00,1.67,3.00,3.4,3.4,2.9,6.2,1.12,0.95,2.07,1.12,2.07,3,3,270,8,2.67,24,16,66.7,0,1,2,0,0.0,0,0,0,0,-1,0,1,0,7.7,0.33,-0.3,-0.11,17,50,34.0,104,21,33.7,34.2,21,71.4,57.2,28,3,10.7,8,2.67,20.3,32,9,28.1,10.67,3.00,0.16,0.56,16.5,0,0.11,+1.6,+1.6,1181,1514,78.0,20846,7345,501,573,87.4,531,628,84.6,110,225,48.9,2.8,+1.1,25,86,21,8,73,1381,129,30,8,17,56,58,9,4,5,0,4,30,51,17.00,37,6,1,2,2,3,8,2.67,6,1,0,0,1,0,53,22,22,23,8,27,45,60.0,18,41,10,31,22,75,49,3,1816,199,581,864,392,56,1816,9,28,32.1,49,22,1171,72,90,100,80,18,15,22,28,0.33,5,8,-3,-1.00,3.4,7.3,-3.9,-1.32,0,43,28,4,0,0,0,161,43,38,53.1
Spain,21,26.4,75.8,4,44,390,4.3,9,5,8,1,1,2,0,2.08,1.15,3.23,1.85,3.00,6.2,5.4,4.0,9.4,1.42,0.92,2.34,1.24,2.16,4,4,390,3,0.69,9,6,66.7,1,2,1,2,50.0,0,0,0,0,-1,0,0,0,3.7,0.41,+0.7,+0.17,7,11,63.6,138,19,7.2,22.0,22,4.5,21.4,22,4,18.2,6,1.38,15.7,48,16,33.3,11.08,3.69,0.17,0.50,18.3,1,0.11,+2.8,+2.6,3542,3957,89.5,62461,15639,1423,1519,93.7,1788,1921,93.1,268,357,75.1,4.4,+1.0,37,291,46,8,175,3727,219,64,13,20,69,102,21,4,4,0,11,54,93,21.46,82,6,1,0,4,0,16,3.69,15,0,0,0,1,0,53,32,19,25,9,16,39,41.0,23,31,4,27,19,72,37,3,4300,222,789,2596,937,87,4299,24,80,30.0,70,41,3500,169,98,100,84,25,20,30,40,1.25,9,3,+6,+1.38,6.2,3.4,+2.7,+0.63,0,41,46,11,1,0,0,225,41,39,51.3
Switzerland,24,28.5,49.0,4,44,360,4.0,5,4,5,0,0,9,0,1.25,1.00,2.25,1.25,2.25,5.6,5.6,3.6,9.2,1.41,0.89,2.30,1.41,2.30,4,4,360,9,2.25,23,14,60.9,2,0,2,1,25.0,0,0,0,0,-1,0,1,0,8.6,0.38,-0.4,-0.09,6,21,28.6,120,23,15.0,25.7,27,11.1,22.6,68,2,2.9,1,0.25,10.5,37,12,32.4,9.25,3.00,0.14,0.42,15.9,2,0.16,-0.6,-0.6,1663,2063,80.6,29186,9586,719,807,89.1,765,886,86.3,147,265,55.5,3.6,+0.4,27,109,20,2,116,1856,201,56,1,16,52,83,20,15,2,0,6,36,64,16.00,50,7,0,6,1,0,8,2.00,8,0,0,0,0,0,48,25,25,17,6,23,39,59.0,16,35,11,24,24,72,78,1,2407,274,846,1098,485,54,2407,8,37,21.6,55,43,1645,115,90,100,82,25,19,19,35,1.50,5,9,-4,-1.00,5.6,5.3,+0.3,+0.08,0,53,49,6,0,0,0,190,45,49,47.9
Tunisia,21,27.7,44.3,3,33,270,3.0,1,1,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67,2.3,2.3,1.9,4.2,0.77,0.64,1.41,0.77,1.41,3,3,270,1,0.33,10,9,90.0,1,1,1,2,66.7,0,0,0,0,-1,0,0,0,2.4,0.24,+1.4,+0.46,15,41,36.6,59,7,49.2,39.9,18,66.7,51.1,52,0,0.0,0,0.00,12.0,32,8,25.0,10.67,2.67,0.03,0.13,18.0,0,0.07,-1.3,-1.3,998,1352,73.8,19453,7520,354,425,83.3,523,611,85.6,114,255,44.7,1.8,-0.9,22,89,20,4,88,1174,171,32,5,12,61,94,21,12,6,1,7,39,57,19.00,40,8,2,6,0,1,2,0.67,2,0,0,0,0,0,64,36,32,27,5,27,38,71.1,11,41,9,32,25,89,85,1,1725,193,654,745,343,60,1725,19,46,41.3,52,49,977,86,90,100,84,21,12,18,33,1.33,1,1,0,0.00,2.3,2.8,-0.5,-0.17,0,40,28,7,0,0,0,170,48,57,45.7
United States,20,25.4,53.0,4,44,360,4.0,3,3,3,0,0,5,0,0.75,0.75,1.50,0.75,1.50,4.1,4.1,3.5,7.6,1.01,0.87,1.89,1.01,1.89,4,4,360,4,1.00,12,8,75.0,1,2,1,2,50.0,1,1,0,0,0.0,0,0,0,3.4,0.20,-0.6,-0.15,13,38,34.2,108,24,24.1,29.4,20,60.0,48.1,42,7,16.7,5,1.25,13.8,45,13,28.9,11.25,3.25,0.07,0.23,17.1,1,0.09,-1.1,-1.1,1816,2234,81.3,32313,10479,800,895,89.4,815,927,87.9,160,281,56.9,3.3,-0.5,37,130,30,6,120,2053,176,46,3,16,93,81,22,14,6,1,5,49,82,20.50,68,4,6,4,0,0,6,1.50,6,0,0,0,0,0,52,34,31,16,5,25,43,58.1,18,44,4,40,25,77,66,0,2658,225,730,1254,696,91,2658,27,66,40.9,75,45,1778,118,90,100,82,25,19,18,41,1.25,3,4,-1,-0.25,4.1,4.4,-0.3,-0.07,0,45,40,5,0,1,0,212,53,53,50.0
Uruguay,19,28.5,48.7,3,33,270,3.0,2,1,2,0,0,8,0,0.67,0.33,1.00,0.67,1.00,3.7,3.7,2.8,6.4,1.23,0.92,2.15,1.23,2.15,3,3,270,2,0.67,7,4,85.7,1,1,1,2,66.7,2,1,1,0,50.0,0,0,0,3.0,0.16,+1.0,+0.34,6,27,22.2,54,6,37.0,33.4,24,29.2,29.9,33,2,6.1,2,0.67,11.0,33,10,30.3,11.00,3.33,0.06,0.20,19.2,1,0.12,-1.7,-1.7,1155,1498,77.1,20435,7194,527,623,84.6,457,563,81.2,136,222,61.3,2.7,-1.8,25,100,22,6,88,1353,142,41,4,9,41,64,8,2,4,0,3,31,63,21.00,50,5,2,2,4,0,3,1.00,2,0,0,1,0,0,51,31,28,19,4,22,46,47.8,24,39,8,31,32,83,54,1,1836,153,574,888,391,50,1836,9,34,26.5,51,27,1141,83,90,100,81,19,14,20,28,1.33,2,2,0,0.00,3.7,3.5,+0.1,+0.05,0,34,36,3,0,2,0,166,53,47,53.0
Wales,18,27.7,46.7,3,33,270,3.0,1,0,0,1,1,5,1,0.33,0.00,0.33,0.00,0.00,2.7,1.9,1.8,3.7,0.91,0.59,1.49,0.65,1.23,3,3,269,6,2.01,14,8,57.1,0,1,1,0,0.0,0,0,0,0,-1,1,0,0,4.9,0.35,-1.1,-0.35,23,53,43.4,80,20,45.0,35.1,25,68.0,49.0,48,3,6.3,2,0.67,9.4,23,6,26.1,7.67,2.00,0.00,0.00,20.4,1,0.09,-1.7,-1.9,1044,1366,76.4,20874,7567,380,451,84.3,486,578,84.1,155,261,59.4,1.3,-1.8,18,62,12,5,65,1213,149,36,2,19,36,73,6,4,1,0,4,30,45,15.00,31,5,0,4,4,1,2,0.67,0,1,0,0,1,0,40,27,16,19,5,15,30,50.0,15,41,15,26,21,61,78,3,1699,211,629,754,322,40,1698,9,36,25.0,45,21,1021,64,90,100,81,19,13,23,31,0.33,1,6,-5,-1.67,2.7,4.6,-1.9,-0.63,0,35,33,4,1,0,0,147,42,41,50.6
